A01;Dor generalizada /múltipla;Dor generalizada /múltipla;true
A02;Arrepios/ calafrios;Arrepios/ calafrios;true
A03;Febre;Febre;true
A04;Debilidade/cansaço geral/fadiga;Debilidade/cansaço geral/fadiga;true
A05;Sentir-se doente;Sentir-se doente;true
A06;Desmaio/síncope;Desmaio/síncope;true
A07;Coma;Coma;true
A08;Inchaço;Inchaço;true
A09;Problemas de sudorese;Problemas de sudorese;true
A10;Sangramento/Hemorragia NE;Sangramento/Hemorragia NE;true
A11;Dores torácicas NE;Dores torácicas NE;true
A13;Receio/Medo do tratamento;Receio/Medo do tratamento;true
A16;Criança irritável;Criança irritável;true
A18;Preocupação com aparência;Preocupação com aparência;true
A20;Pedido/discussão eutanásia;Pedido/discussão eutanásia;true
A21;Fator de risco de malignidade;Fator de risco de malignidade;true
A23;Fator de risco NE;Fator de risco NE;true
A25;Medo de morrer/medo da morte;Medo de morrer/medo da morte;true
A26;Medo de câncer NE;Medo de câncer NE;true
A27;Medo de outra doença NE;Medo de outra doença NE;true
A28;Limitação funcional/incapacidade NE;Limitação funcional/incapacidade NE;true
A29;Outros sinais/sintomas gerais;Outros sinais/sintomas gerais;true
A70;Tuberculose;Tuberculose;true
A71;Sarampo;Sarampo;true
A72;Varicela;Varicela;true
A73;Malária;Malária;true
A74;Rubéola;Rubéola;true
A75;Mononucleose infecciosa;Mononucleose infecciosa;true
A76;Outro exantema viral;Outro exantema viral;true
A77;Dengue e outras doenças virais NE;Dengue e outras doenças virais NE;true
A78;Hanseníase e outras doenças infecciosas NE;Hanseníase e outras doenças infecciosas NE;true
A79;Carcinomatose (localização primária desconhecida);Carcinomatose (localização primária desconhecida);true
A80;Lesão traumática/acidente NE;Lesão traumática/acidente NE;true
A81;Politraumatismos/ferimentos múltiplos;Politraumatismos/ferimentos múltiplos;true
A82;Efeito secundário de lesão traumática;Efeito secundário de lesão traumática;true
A84;Intoxicação por medicamento;Intoxicação por medicamento;true
A85;Efeito adverso de fármaco dose correta;Efeito adverso de fármaco na dose correta;true
A86;Efeito tóxico de substância não medicinal;Efeito tóxico de substância não medicinal;true
A87;Complicações de tratamento médico;Complicações de tratamento médico;true
A88;Efeito adverso de fator físico;Efeito adverso de fator físico;true
A89;Efeito da prótese;Efeito da prótese;true
A90;Malformação congênita NE/múltiplas;Malformação congênita NE/múltiplas;true
A91;Investigação com resultado anormal NE;Investigação com resultado anormal NE;true
A92;Alergia/reação alérgica NE;Alergia/reação alérgica NE;true
A93;Recém nascido prematuro;Recém nascido prematuro;true
A94;Morbidade perinatal, outra;Morbidade perinatal, outra;true
A95;Mortalidade perinatal;Mortalidade perinatal;true
A96;Morte;Morte;true
A97;Sem doença;Sem doença;true
A98;Medicina preventiva/manutenção da saúde;Medicina preventiva/manutenção da saúde;true
